iter	Passed	Remaining
0	80	80786
1	86	43308
2	91	30541
3	96	24071
4	100	1999755	106	17586	6	111	15837	7	117	14528	8	124	13679	9	130	12901010	135	12171111	141	11611212	147	111913	142	10036
1414	173	11386
15	179	11040
16	185	10715
17	190	18	18618	19519	199	9780
20	204	9550
21	210	9351
22	215	9161
23	236	9619
24	247	9653
25	252	9463
26	258	9298
27	262	9129
28	267	8972
29	275	8916
30	280	8783131	295	8941
32	303	8889
33	318	9048
34	325	8969
35	341	9143
36	346	9030
37	352	8927
38	357	8818
39	362	8694040	378	8844141	383	87442	401	8935
4343	394	8574444	400	85045	426	8843
46	433	8782
47	442	8773
48	446	8674
49	453	8612
50	458	8533
51	464	8476
52	474	8470
53	496	8691
54	503	8655
55	510	8598
56	515	8528
57	522	8487
58	528	8425
59	535	8384
60	540	8322
61	546	8262
62	551	8198
63	557	8153
64	563	8104
65	568	8065	66	573	7966	576	8021
67	580	7957
68	5869	580	69	600	7975
70	71	614	7971	72	619	7872	73	624	7873	635	7951
74	640	7899
75	654	7953
76	659	7902
77	665	7866
78	671	7831
79	676	7782
80	688	7809
81	82	699	7782	704	7787
83	711	7759
84	715	7702
85	720	7660
86	87	730	7587	88	737	7588	89	746	7589	751	7599
90	759	7584
91	764	7548
92	772	7529
93	779	7514
94	798	7605
95	803	7565
96	809	7534
97	825	7594
98	830	7559
99	837	7537
100	844	7516
101	102	856	7102	103	866	7103	104	873	7104	105	881	7105	106	892	7106	897	7492
107	903	7465
108	109	917	7109	925	7484
110	930	7452
111	937	7430
112	942	7397
113	114	965	7429
115	971	7404
116	992	7487
117	997	7455
118	1003	7432
119	1010	7412
120	1016	7384
121	1024	7372
122	1030	7344
123	1035	7313
124	1040	7284
125	1045	7254
126	1051	7226
127	1056	7197
128	1071	7233
129	1078	7216
130	1085	7198
131	1091	7177
132	1096	7150
133	1103	7134
134	1110	7114
135	1116	7092
136	1125	7088
137	1130	7063
138	1136	7036
139	1141	7014
140	1147	6989
141	1153	6971
142	1173	7033
143	1178	7007
144	1184	6983
145	1191	6970
146	1197	6946
147	1202	6922
148	1207	6898
149	1222	6929
150	1228	6906
151	1234	6884
152	1239	6860
153	1245	6842
154	1250	6818
155	1255	6794
156	1261	6772
157	1266	6747
158	1271	6724
159	1277	6707
160	1282	6683
161	1287	6661
162	1292	6638
163	1297	6614
164	1302	6590
165	1307	6567
166	1312	6548
167	1318	6530
168	1322	6503
169	1169	1333	6512
170	1340	6500
171	1354	6519
172	1357	6488
173	1360	6460
174	1364	6433
175	1369	6413
176	1376	6400
177	1381	178	1178	1388	179	1179	1392	180	1180	1398	181	1408	6331
182	1428	6379
183	1444	6406
184	1451	6394
185	1466	6417
186	1472	6403
187	1480	6394
188	1486	6376
189	1492	6362
190	1517	6429
191	1522	6408
192	1534	6415
193	1587	6595
194	1601	6610
195	1619	6644
196	1634	6664
197	1641	6649
198	1658	6674
199	1663	6654
200	1677	6669
201	1684	6655
202	1690	6636
203	1706	6656
204	1712	6640
205	1719	6626
206	1734	6644
207	1745	6644
208	1759	6660
209	1764	6639
210	1780	6656
211	1787	6643
212	1792	6623
213	1797	6601
214	1802	6581
215	1812	6578
216	1817	6559
217	1823	6539
218	1832	6533
219	1839	6520
220	1846	6507
221	1851	6489
222	1856	6469
223	1862	6451
224	1868	6437
225	1874	6419
226	1878	6397
227	1883	6377
228	1892	6372
229	1900	6362
230	1905	6343
231	1911	6328
232	1917	6312
233	1923	6296
234	1928	6278
235	1953	6325
236	1959	6306
237	1964	6290
238	1969	6272
239	1974	6252
240	1979	6234
241	1986	6222
242	1991	6204
243	1998	6191
244	2003	6174
245	2013	6171
246	2030	6189
247	2035	6171
248	2040	6155
249	2045	6137
250	2050	6119
251	2057	6108
252	2064	6095
253	2069	6077
254	2076	6065
255	2083	6053
256	2087	6034
257	2092	6018
258	2097	6001
259	2103	5986
260	2109	5973
261	2115	5959
262	2121	5944
263	2126	5928
264	2133	5916
265	2145	5920
266	2150	5904
267	2154	5885
268	2159	5869
269	2164	5853
270	2170	5838
271	2179	5833
272	2184	5817
273	2190	5803
274	2195	5787
275	2200	5772
276	2205	5757
277	2211	5743
278	2216	5728
279	2223	5716
280	2230	5706
281	2235	5691
282	2241	5679
283	2246	5664
284	2252	5649
285	2258	5637
286	2263	5622
287	2272	5617
288	2277	5603
289	2283	5590
290	2288	5576
291	2301	5580
292	2318	5593
293	2327	5588
294	2332	5575
295	2338	5562
296	2342	5545
297	2348	5531
298	2353	5516
299	2359	5504
300	2364	5490
301	2370	5477
302	2375	5465
303	2382	5455
304	2393	5453
305	2400	5444
306	2407	5434
307	2412	5420
308	2418	5408
309	2423	5394
310	2428	5380
311	2433	5366
312	2440	5356
313	2447	5346
314	2456	5342
315	2461	5328
316	2467	5317
317	2472	5303
318	2479	5293
319	2484	5280
320	2489	5266
321	2494	5253
322	2497	5235
323	2501	5219
324	2516	5226
325	2521	5213
326	2527	5202
327	2533	5189
328	2538	5177
329	2543	5165
330	2550	5155
331	2557	5146
332	2574	5156
333	2580	5146
334	2586	5133
335	2590	5119
336	2596	5107
337	2602	5096
338	2608	5086
339	2613	5073
340	2620	5063
341	2625	5051
342	2635	5049
343	2640	5035
344	2645	5022
345	2651	5010
346	2656	4999
347	2661	4986
348	2667	4976
349	2673	4965
350	2679	4953
351	2684	4942
352	2689	4929
353	2697	4921
354	2703	4911
355	2712	4906
356	2716	4892
357	2720	4878
358	2725	4866
359	2740	4871
360	2745	4859
361	2751	4848
362	2755	4834
363	2761	4824
364	2766	4813
365	2771	4800
366	2778	4792
367	2785	4783
368	2790	4771
369	2794	4757
370	2798	4743
371	2803	4732
372	2811	4725
373	2816	4714
374	2823	4706
375	2827	4693
376	2831	4679
377	2838	4670
378	2845	4663
379	2854	4657
380	2860	4646
381	2866	4637
382	2871	4625
383	2875	4613
384	2883	4606
385	2887	4593
386	2893	4583
387	2899	4574
388	2905	4563
389	2912	4555
390	2918	4544
391	2924	4535
392	2930	4525
393	2934	4513
394	2940	4503
395	2945	4492
396	2950	4481
397	2955	4470
398	2960	4459
399	2965	4448
400	2971	4438
401	2977	4428
402	2982	4418
403	3017	4452
404	3049	4480
405	3060	4477
406	3065	4466
407	3071	4456
408	3077	4446
409	3081	4434
410	3088	4426
411	3094	4417
412	3099	4405
413	3104	4394
414	3110	4384
415	3115	4373
416	3119	4361
417	3122	4347
418	3126	4335
419	3130	4322
420	3135	4311
421	3140	4301
422	3146	4291
423	3155	4286
424	3160	4275
425	3165	4265
426	3170	4254
427	3215	4297
428	3221	4287
429	3226	4276
430	3231	4266
431	3251	4275
432	3256	4264
433	3262	4255
434	3267	4243
435	3272	4233
436	3278	4224
437	3286	4216
438	3290	4204
439	3292	4191
440	3296	4178
441	3302	4168
442	3306	4157
443	3315	4151
444	3321	4143
445	3327	4133
446	3330	4120
447	3334	4108
448	3339	4098
449	3344	4087
450	3349	4077
451	3353	4065
452	3358	4055
453	3364	4045
454	3369	4035
455	3374	4025
456	3379	4015
457	3384	4005
458	3392	3998
459	3397	3988
460	3404	3980
461	3411	3972
462	3418	3964
463	3423	3955
464	3433	3950
465	3440	3942
466	3452	3940
467	3459	3932
468	3466	3924
469	3472	3915
470	3487	3917
471	3493	3908
472	3504	3904
473	3519	3906
474	3526	3897
475	3533	3890
476	3540	3881
477	3546	3872
478	3552	3863
479	3558	3855
480	3567	3849
481	3574	3841
482	3592	3845
483	3598	3836
484	3605	3828
485	3610	3818
486	3617	3810
487	3623	3801
488	3628	3791
489	3636	3785
490	3641	3775
491	3647	3765
492	3651	3754
493	3656	3745
494	3661	3735
495	3666	3725
496	3671	3715
497	3677	3706
498	3683	3698
499	3689	3689
500	3694	3679
501	3711	3681
502	3716	3672
503	3723	3664
504	3729	3655
505	3735	3646
506	3742	3638
507	3755	3637
508	3765	3632
509	3772	3624
510	3777	3614
511	3792	3614
512	3799	3606
513	3803	3596
514	3809	3587
515	3814	3577
516	3821	3570
