,PK,SEMESTER,DNAME,TYPE,MARK,GRADE,BALLS,EXAM_DATE
0,929,1,Инструментальные средства обеспечения математических исследований,зач,5,A-,90.0,2013-02-19 00:00:00
1,929,1,Непрерывные математические модели,зач,з,B+,88.0,2013-02-19 00:00:00
2,929,1,Программирование под Windows графических интерфейсов пользователя,экз,5,A-,92.0,2013-02-19 00:00:00
3,929,1,Современные проблемы прикладной математики и информатики,зач,з,B,83.0,2013-03-23 00:00:00
4,929,1,Научно-исследовательская работа,прак,з,B,84.0,2013-03-23 00:00:00
5,929,1,Методы конечно-элементного анализа,КП,5,A,93.0,2013-11-20 00:00:00
6,929,1,История и методология прикладной математики и информатики,зач,з,A,93.0,2013-11-20 00:00:00
7,929,1,Иностранный язык,зач,з,B,89.0,2013-11-20 00:00:00
8,929,1,Методы конечно-элементного анализа,экз,5,A,94.0,2013-11-20 00:00:00
9,929,1,Математическое моделирование тепловых и электромагнитных полей,экз,5,A-,90.0,2014-05-15 00:00:00
10,929,2,Технологии объектно-ориентированного программирования,зач,5,A-,90.0,2013-02-19 00:00:00
11,929,2,Моделирование электромагнитных полей с использованием программных комплексов TELMA и GeoEM,зач,з,A-,92.0,2013-05-20 00:00:00
12,929,2,Современные компьютерные технологии,зач,з,B,85.0,2013-05-20 00:00:00
13,929,2,Научно-исследовательская работа,прак,ня,,,2013-07-01 00:00:00
14,929,2,Методы конечно-элементного анализа,экз,ня,,,2013-07-03 00:00:00
15,929,2,Методы решения больших систем уравнений,экз,5,A-,92.0,2013-07-06 00:00:00
16,929,2,Методы конечно-элементного анализа,КП,5,B+,89.0,2013-09-30 00:00:00
17,929,2,Методы конечно-элементного анализа,экз,5,B+,89.0,2013-09-30 00:00:00
18,929,2,Иностранный язык,экз,4,B,89.0,2013-11-20 00:00:00
19,929,2,Философия,экз,5,A+,98.0,2013-11-20 00:00:00
20,929,2,Научно-исследовательская работа,прак,4,B-,80.0,2014-01-23 00:00:00
21,929,2,Научно-исследовательская работа,прак,5,A-,92.0,2014-05-23 00:00:00
22,929,3,Технологии объектно-ориентированного программирования,зач,5,B+,87.0,2013-09-04 00:00:00
23,929,3,Технологии объектно-ориентированного программирования,зач,5,A+,98.0,2013-11-19 00:00:00
24,929,3,Дискретные  математические модели,зач,з,A,93.0,2013-11-19 00:00:00
25,929,3,Современные компьютерные технологии,зач,5,A,95.0,2013-11-21 00:00:00
26,929,3,Методы конечно-элементного анализа,КП,4,B,85.0,2013-11-22 00:00:00
27,929,3,Научно-исследовательская работа,прак,ня,,,2014-01-18 00:00:00
28,929,3,Методы конечно-элементного анализа,экз,5,B+,87.0,2014-01-27 00:00:00
29,929,3,Методы решения больших систем уравнений,экз,5,A+,98.0,2014-01-28 00:00:00
30,929,3,Научно-исследовательская работа,прак,5,B+,89.0,2014-03-11 00:00:00
31,929,3,Методы конечно-элементного анализа,КП,5,A,95.0,2014-05-23 00:00:00
32,929,4,Научно-исследовательская практика,прак,5,A-,91.0,2014-04-18 00:00:00
33,929,4,Научно-исследовательская работа,прак,5,A-,92.0,2014-05-25 00:00:00
34,929,4,Подготовка и защита выпускной квалификационной работы,МД,5,A-,91.0,2014-06-26 00:00:00
35,1063,1,Методы конечно-элементного анализа,КП,4,C+,77.0,2012-12-06 00:00:00
36,1063,1,Инструментальные средства обеспечения математических исследований,зач,4,B,83.0,2012-12-06 00:00:00
37,1063,1,Иностранный язык,зач,з,B,86.0,2012-12-06 00:00:00
38,1063,1,История и методология прикладной математики и информатики,зач,з,B+,86.0,2012-12-06 00:00:00
39,1063,1,Программирование под Windows графических интерфейсов пользователя,экз,4,B,84.0,2012-12-06 00:00:00
40,1063,1,Математическое моделирование тепловых и электромагнитных полей,экз,4,B-,82.0,2012-12-06 00:00:00
41,1063,1,Методы конечно-элементного анализа,экз,4,C+,76.0,2012-12-06 00:00:00
42,1063,1,Непрерывные математические модели,зач,ня,,,2012-12-21 00:00:00
43,1063,1,Современные проблемы прикладной математики и информатики,зач,ня,,,2012-12-21 00:00:00
44,1063,1,Научно-исследовательская работа,прак,ня,,,2013-01-14 00:00:00
45,1063,1,Современные проблемы прикладной математики и информатики,зач,з,B-,80.0,2013-05-29 00:00:00
46,1063,1,Непрерывные математические модели,зач,з,C-,70.0,2013-05-29 00:00:00
47,1063,1,Научно-исследовательская работа,прак,4,B-,80.0,2013-05-31 00:00:00
48,1063,2,Иностранный язык,экз,4,B,85.0,2012-12-06 00:00:00
49,1063,2,Методы конечно-элементного анализа,КП,ня,,,2013-05-20 00:00:00
