,ИД,Факультет,Направление,год поступления,статус,Unnamed: 5,дата изменения,выпуск
1,929,ФПМИ,01.04.02 Прикладная математика и информатика,2002.0,1,учится,0 days,выпустился
2,929,ФПМИ,01.04.02 Прикладная математика и информатика,2002.0,-1,отчислен,564 days,выпустился
5,1063,ФПМИ,01.04.02 Прикладная математика и информатика,2003.0,2,ак. отпуск,0 days,выпустился
6,1063,ФПМИ,01.04.02 Прикладная математика и информатика,2003.0,1,учится,173 days,выпустился
7,1063,ФПМИ,01.04.02 Прикладная математика и информатика,2003.0,2,ак. отпуск,257 days,выпустился
8,1063,ФПМИ,01.04.02 Прикладная математика и информатика,2003.0,1,учится,497 days,выпустился
200,4857,ФПМИ,02.03.03 Математическое обеспечение и администрирование информационных систем,2005.0,-1,отчислен,0 days,выпустился
229,9054,ФГО,37.03.01 Психология,2004.0,1,учится,0 days,выпустился
230,9054,ФГО,37.03.01 Психология,2004.0,-1,отчислен,154 days,выпустился
239,108141,АВТФ,12.04.04 Биотехнические системы и технологии,2010.0,2,ак. отпуск,0 days,выпустился
240,108141,АВТФ,12.04.04 Биотехнические системы и технологии,2010.0,1,учится,256 days,выпустился
241,108141,АВТФ,12.04.04 Биотехнические системы и технологии,2010.0,-1,отчислен,411 days,выпустился
277,108817,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,-1,отчислен,0 days,отчислен
278,108817,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,1,учится,30 days,отчислен
279,108817,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,-1,отчислен,374 days,отчислен
280,108817,АВТФ,09.03.01 Информатика и вычислительная техника,2008.0,1,учится,388 days,отчислен
330,110015,ФЭН,13.03.02 Электроэнергетика и электротехника,1988.0,1,учится,0 days,отчислен
331,110015,ФЭН,13.03.02 Электроэнергетика и электротехника,1988.0,-1,отчислен,484 days,отчислен
339,111498,ФЭН,13.03.02 Электроэнергетика и электротехника,2002.0,-1,отчислен,0 days,отчислен
