iter	Passed	Remaining
0	64	64119
1	69	34493
2	76	25551
3	84	21102
4	93	18636
5	102	1697166	107	1525277	111	1378788	114	125899	113	11229
10	117	10524
11	119	9873
12	124	9451
13	127	8967
14	131	8612
15	134	8282
1616	143	8301717	146	8011818	150	7781919	154	75820	153	7133
2121	161	7182222	165	7022323	168	6862424	171	6702525	175	6582626	179	6462727	182	6352828	186	6234
29	189	6128
30	192	6009
31	196	5957
32	201	5891
33	203	5783434	207	5723
35	211	5659
36	215	5603
37	219	5553838	222	5473939	225	5404040	230	5384141	234	5354242	238	5304343	242	5274444	245	5214545	249	5174646	252	5124747	255	5074848	260	5060
49	264	5025050	268	4995151	270	4935252	274	4895353	277	48654	276	4746
5555	285	4815656	289	4785757	293	4765
58	296	4734
59	300	4706060	303	46661	302	4569
62	305	4550
63	308	4517
64	313	4502
65	317	4494
66	322	4488
67	329	4512
68	333	4499
69	338	4501
70	343	4494
71	347	4478
72	351	4463
7373	365	4567474	369	4557
75	373	4542
76	376	45177	392	4640
78	396	4627
79	401	4617
80	405	4603
81	409	4589
82	420	4646
83	425	4642
84	428	4615
85	431	4586
86	434	4558
87	438	4542
88	441	4520
89	445	4503
90	449	4493
91	453	4472
92	456	4449
93	460	4434
94	465	4433
95	470	4427
96	475	4424
97	481	4427
98	485	4418
99	488	4399
100	493	4396
101	498	4385
102	501	4370
103	504	4345
104	508	4331
105	513	4327
106	517	4317
107	520	4298
108	522	4273
109	527	4270
110	531	4257
111	534	4238
112	538	4224
113	541	4205
114	544	4188
115	547	4168
116	550	4154
117	553	4135
118	555	4114
119	559	4100
120	562	4087
121	565	4069
122	569	4058
123	572	4044
124	575	4031
125	577	4009
126	581	3995
127	585	3987
128	588	3976
129	594	3975
130	598	3970
131	602	3959
132	605	3949
133	610	3947
134	616	3952
135	621	3946
136	625	3940
137	629	3929
138	631	3911
139	634	3896
140	638	3887
141	642	3882
142	649	3891
143	653	3885
144	656	3873
145	660	3862
146	664	3853
147	668	3846
148	672	3841
149	675	3825
150	679	3819
151	681	3804
152	685	3792
153	687	3779
154	691	3767
155	694	3756
156	697	3743
157	700	3730
158	703	3720
159	706	3709
160	709	3698
161	713	3691
162	716	3680
163	719	3667
164	722	3656
165	726	3648
166	728	3635
167	732	3629
168	735	3617
169	738	3604
170	742	3599
171	744	3585
172	747	3573
173	750	3564
174	753	3551
175	757	3545
176	760	3536
177	763	3525
178	766	3516
179	771	3516
180	774	3506
181	779	3502
182	782	3491
183	786	3487
184	789	3478
185	792	3468
186	795	3458
187	798	3450
188	802	3443
189	805	3433
190	807	3421
191	811	3413
192	813	3402
193	816	3391
194	820	3385
195	823	3376
196	827	3373
197	831	3368
198	837	3369
199	840	3361
200	844	3355
201	851	3362
202	856	3363
203	860	3359
204	866	3362
205	875	3373
206	881	3377
207	886	3376
208	892	3378
209	897	3374
210	900	3368
211	905	3365
212	911	3366
213	915	3361
214	918	3355
215	924	3354
216	932	3365
217	937	3362
218	941	3356
219	945	3351
220	948	3344
221	953	3340
222	957	3335
223	961	3331
224	967	3332
225	972	3329
226	977	3328
227	981	3322
228	986	3320
229	989	3314
230	994	3310
231	997	3303
232	1002	3299
233	1017	3329
234	1022	3328
235	1026	3324
236	1031	3320
237	1035	3314
238	1039	3309
239	1042	3302
240	1048	3303
241	1053	3300
242	1058	3298
243	1062	3292
244	1066	3287
245	1070	3281
246	1074	3275
247	1078	3271
248	1083	3266
249	1088	3265
250	1093	3262
251	1096	3255
252	1102	3254
253	1106	3251
254	1121	3277
255	1128	3280
256	1133	3278
257	1141	3283
258	1152	3298
259	1158	3298
260	1168	3307
261	1172	3303
262	1179	3303
263	1194	3329
264	1206	3345
265	1211	3342
266	1220	3351
267	1227	3351
268	1232	3350
269	1242	3360
270	1247	3354
271	1251	3350
272	1255	3344
273	1271	3368
274	1277	3367
275	1281	3361
276	1285	3355
277	1290	3350
278	1294	3344
279	1302	3350
280	1310	3352
281	1315	3348
282	1321	3346
283	1326	3345
284	1331	3339
285	1335	3335
286	1339	3328
287	1346	3330
288	1359	3345
289	1378	3374
290	1387	3381
291	1391	3374
292	1395	3368
293	1400	3362
294	1405	3358
295	1412	3358
296	1418	3356
297	1424	3356
298	1433	3360
299	1437	3355
300	1445	3356
301	1449	3350
302	1455	3348
303	1459	3342
304	1462	3333
305	1468	3331
306	1473	3326
307	1479	3324
308	1487	3327
309	1495	3328
310	1505	3335
311	1527	3368
312	1542	3385
313	1569	3429
314	1580	3436
315	1648	3567
316	1663	3583
317	1692	3629
318	1708	3647
319	1712	3639
320	1716	3631
321	1720	3623
322	1724	3614
323	1733	3617
324	1739	3613
325	1745	3608
326	1760	3622
327	1768	3622
328	1771	3613
329	1774	3603
330	1780	3598
331	1783	3588
332	1787	3581
333	1792	3573
334	1798	3569
335	1804	3566
336	1809	3560
337	1814	3553
338	1819	3547
339	1823	3540
340	1827	3530
341	1832	3526
342	1835	3516
343	1839	3507
344	1842	3497
345	1847	3492
346	1852	3485
347	1855	3477
348	1860	3469
349	1865	3463
350	1869	3457
351	1876	3453
352	1881	3447
353	1884	3439
354	1889	3433
355	1893	3424
356	1898	3419
357	1904	3415
358	1908	3406
359	1911	3397
360	1917	3393
361	1920	3385
362	1927	3382
363	1933	3377
364	1938	3371
365	1942	3364
366	1945	3355
367	1950	3350
368	1955	3344
369	1959	3336
370	1964	3330
371	1968	3323
372	1978	3324
373	1980	3314
374	1983	3306
375	1990	3302
376	1995	3298
377	2000	3291
378	2006	3287
379	2009	3278
380	2013	3270
381	2017	3263
382	2021	3256
383	2026	3250
384	2030	3244
385	2034	3236
386	2039	3231
387	2044	3224
388	2048	3217
389	2051	3209
390	2055	3201
391	2059	3194
392	2063	3187
393	2067	3180
394	2071	3173
395	2075	3165
396	2080	3159
397	2084	3153
398	2087	3143
399	2092	3138
400	2098	3134
401	2103	3129
402	2109	3124
403	2113	3118
404	2117	3111
405	2123	3106
406	2127	3099
407	2131	3092
408	2136	3086
409	2142	3083
410	2146	3076
411	2150	3069
412	2155	3063
413	2160	3057
414	2164	3050
415	2168	3044
416	2172	3037
417	2176	3030
418	2180	3023
419	2184	3016
420	2188	3010
421	2193	3003
422	2197	2997
423	2201	2990
424	2205	2983
425	2209	2976
426	2213	2970
427	2217	2963
428	2222	2957
429	2227	2952
430	2235	2951
431	2241	2946
432	2245	2940
433	2250	2934
434	2255	2929
435	2264	2929
436	2269	2923
437	2292	2941
438	2302	2941
439	2306	2935
440	2326	2948
441	2330	2941
442	2334	2935
443	2338	2928
444	2342	2922
445	2348	2916
446	2352	2910
447	2356	2903
448	2359	2895
449	2364	2890
450	2369	2883
451	2373	2877
452	2402	2900
453	2407	2895
454	2410	2887
455	2414	2880
456	2418	2873
457	2420	2865
458	2426	2859
459	2430	2853
460	2435	2847
461	2440	2841
462	2443	2834
